MP_ID,AREA_NO,HOLIDAY,ELECTRO_TYPE,TRADE_NO,WINDSPEED,LAPSERATE,AIRPRESSURE,HUMIDITY,PRECIPITATIONRANINFALL
2129810,35401,0,100,3010,2.7625,29.28333333,996.0083333,79.95833333,0
2129810,35401,2,100,3010,2.9625,26.2875,997.2041667,82.33333333,0
2129844,35401,1,100,1750,4.1375,29.12083333,995.3166667,74.5,0
2129900,35401,0,100,1750,2.7625,29.28333333,996.0083333,79.95833333,0
2129900,35401,0,100,1750,3.0125,25.725,996.125,87.75,54
2130565,35401,0,100,1430,1.675,22.15416667,997.75,96.375,34
2130565,35401,0,100,1430,2.3625,26.24583333,997.1166667,83.41666667,0
2130565,35401,0,100,1430,2.7625,29.28333333,996.0083333,79.95833333,0
2130565,35401,0,100,1430,3.0125,25.725,996.125,87.75,54
2133513,35401,0,100,1740,2.7625,29.28333333,996.0083333,79.95833333,0
2149589,35401,0,100,4090,2.3625,26.24583333,997.1166667,83.41666667,0
2149589,35401,0,100,4090,2.7625,29.28333333,996.0083333,79.95833333,0
2149589,35401,0,100,4090,3.0125,25.725,996.125,87.75,54
2152273,35401,0,100,4800,2.7625,29.28333333,996.0083333,79.95833333,0
2152273,35401,2,100,4800,2.9625,26.2875,997.2041667,82.33333333,0
2152426,35401,0,100,1750,2.3625,26.24583333,997.1166667,83.41666667,0
2152426,35401,0,100,1750,3.0125,25.725,996.125,87.75,54
2152620,35401,0,100,2810,2.7625,29.28333333,996.0083333,79.95833333,0
2152620,35401,2,100,2810,2.9625,26.2875,997.2041667,82.33333333,0
2153244,35401,0,100,1750,2.3625,26.24583333,997.1166667,83.41666667,0
2153755,35401,0,100,1760,2.7625,29.28333333,996.0083333,79.95833333,0
2153755,35401,2,100,1760,2.9625,26.2875,997.2041667,82.33333333,0
2155970,35401,0,100,1760,1.675,22.15416667,997.75,96.375,34
2155970,35401,2,100,1760,2.9625,26.2875,997.2041667,82.33333333,0
2156000,35401,2,100,2810,2.1375,23.725,1000.079167,87.08333333,1
2156022,35401,2,100,1710,2.9625,26.2875,997.2041667,82.33333333,0
2160114,35401,0,405,6020,1.675,22.15416667,997.75,96.375,34
2160114,35401,0,405,6020,3.0125,25.725,996.125,87.75,54
2160114,35401,2,405,6020,2.9625,26.2875,997.2041667,82.33333333,0
2161283,35401,0,100,1760,2.3625,26.24583333,997.1166667,83.41666667,0
2161283,35401,0,100,1760,2.7625,29.28333333,996.0083333,79.95833333,0
2161283,35401,1,100,1760,4.1375,29.12083333,995.3166667,74.5,0
2161283,35401,2,100,1760,2.9625,26.2875,997.2041667,82.33333333,0
2161367,35401,0,100,3220,2.3625,26.24583333,997.1166667,83.41666667,0
2161367,35401,0,100,3220,3.0125,25.725,996.125,87.75,54
2162931,35401,0,100,3220,3.0125,25.725,996.125,87.75,54
2166785,35401,0,100,1710,1.675,22.15416667,997.75,96.375,34
2166785,35401,0,100,1710,2.7625,29.28333333,996.0083333,79.95833333,0
2168038,35401,0,100,5130,2.3625,26.24583333,997.1166667,83.41666667,0
2168038,35401,0,100,5130,3.0125,25.725,996.125,87.75,54
2168072,35401,0,100,5130,1.675,22.15416667,997.75,96.375,34
2168072,35401,0,100,5130,2.3625,26.24583333,997.1166667,83.41666667,0
2168370,35401,0,100,3220,1.675,22.15416667,997.75,96.375,34
2171888,35401,0,405,6510,2.7625,29.28333333,996.0083333,79.95833333,0
2171888,35401,0,405,6510,3.0125,25.725,996.125,87.75,54
2171888,35401,1,405,6510,4.1375,29.12083333,995.3166667,74.5,0
2171888,35401,2,405,6510,2.9625,26.2875,997.2041667,82.33333333,0
2175155,35401,0,405,6510,2.3625,26.24583333,997.1166667,83.41666667,0
2175155,35401,0,405,6510,2.7625,29.28333333,996.0083333,79.95833333,0
2175584,35401,0,405,6510,2.7625,29.28333333,996.0083333,79.95833333,0
2175584,35401,0,405,6510,3.0125,25.725,996.125,87.75,54
2175584,35401,1,405,6510,4.1375,29.12083333,995.3166667,74.5,0
2175584,35401,2,405,6510,2.9625,26.2875,997.2041667,82.33333333,0
2186552,35401,1,405,6510,4.1375,29.12083333,995.3166667,74.5,0
2186552,35401,2,405,6510,2.9625,26.2875,997.2041667,82.33333333,0
2186681,35401,0,405,6510,2.3625,26.24583333,997.1166667,83.41666667,0
2186881,35401,1,405,6510,4.1375,29.12083333,995.3166667,74.5,0
2186994,35401,0,405,6510,1.675,22.15416667,997.75,96.375,34
2187000,35401,0,405,6510,2.3625,26.24583333,997.1166667,83.41666667,0
2187000,35401,1,405,6510,4.1375,29.12083333,995.3166667,74.5,0
2191324,35401,0,405,6510,2.7625,29.28333333,996.0083333,79.95833333,0
2225998,35401,2,100,1710,2.9625,26.2875,997.2041667,82.33333333,0
2226700,35401,2,100,1760,2.9625,26.2875,997.2041667,82.33333333,0
2236549,35401,0,405,6010,1.675,22.15416667,997.75,96.375,34
2236549,35401,0,405,6010,3.0125,25.725,996.125,87.75,54
2237537,35401,0,405,6010,1.675,22.15416667,997.75,96.375,34
2237537,35401,0,405,6010,3.0125,25.725,996.125,87.75,54
2273994,35401,0,405,6610,2.7625,29.28333333,996.0083333,79.95833333,0
2273994,35401,0,405,6610,3.0125,25.725,996.125,87.75,54
2278863,35401,0,405,6010,2.3625,26.24583333,997.1166667,83.41666667,0
2278863,35401,1,405,6010,4.1375,29.12083333,995.3166667,74.5,0
2283197,35401,0,100,1750,2.3625,26.24583333,997.1166667,83.41666667,0
2307009,35401,0,100,4610,2.7625,29.28333333,996.0083333,79.95833333,0
2307009,35401,2,100,4610,2.9625,26.2875,997.2041667,82.33333333,0
2313441,35401,1,100,4610,4.1375,29.12083333,995.3166667,74.5,0
2313441,35401,2,100,4610,2.9625,26.2875,997.2041667,82.33333333,0
2411217,35401,1,100,3190,4.1375,29.12083333,995.3166667,74.5,0
2464150,35401,0,100,3190,2.3625,26.24583333,997.1166667,83.41666667,0
2464150,35401,1,100,3190,4.1375,29.12083333,995.3166667,74.5,0
